# Second test
  3.30138546  44.75921475
  3.34264534  45.83701568
  3.38164385  46.91269396
  3.41838939  47.98637062
  3.45288996  49.05816599
  3.48515321  50.12819973
  3.51518635  51.19659089
  3.54299618  52.26345791
  3.56858904  53.32891869
  3.59196699  54.39309206
  3.61314382  55.45609176
  3.63211990  56.51803590
  3.64889971  57.57904047
  3.66348722  58.63922115
  3.67588590  59.69869324
  3.68609872  60.75757181
  3.69412813  61.81597165
  3.69997606  62.87400739
  3.70364392  63.93179350
  3.70513261  64.98944437
  3.70444248  66.04707430
  3.70157338  67.10479761
  3.69652397  68.16272595
  3.68929450  69.22097997
  3.67988237  70.27967044
  3.66828534  71.33891215
  3.65450064  72.39882013
  3.63852500  73.45950971
  3.62035469  74.52109678
  3.59998552  75.58369631
  3.57741293  76.64742510
  3.55263076  77.71239999
  3.52563371  78.77873729
  3.49641580  79.84655606
  3.46497042  80.91597369
  3.43129039  81.98710878
  3.39536821  83.06008045
  3.35719686  84.13501494
  3.31676686  85.21202385
  3.27407023  86.29123242
  3.22909815  87.37276281
  3.18184154  88.45673797
  3.13229109  89.54328158
  3.08043725  90.63251813
  3.02625836  91.72457089
  2.96976327  92.81956885
  2.91093377  93.91763739
  2.84975959  95.01890402
  2.78623046  96.12349707
  2.72033608  97.23154566
  2.65206619  98.34317968
  2.58141062  99.45852960
  2.50835944 100.57772622
  2.43290324 101.70090036
  2.35503343 102.82818284
  2.27474430 103.95970754
  2.19202132 105.09559873
  2.10686692 106.23599529
  2.01926922 107.38102952
  1.92921874 108.53082983
  1.83672417 109.68553440
  1.74177770 110.84526510
  1.64437900 112.01015595
  1.54450358 113.18033074
  1.44219135 114.35592309
  1.33743178 115.53705536
  1.23024389 116.72385590
  1.12060886 117.91642928
  1.00855796 119.11490053
  0.89410710 120.31938312
  0.77728036 121.52997902
